DISTRITO;PROVINCIA;ZONA;NOMBRE DE LA INSTITUCIÓN;SOSTENIMIENTO;MATRÍCULA EDUCACIÓN INICIAL (ALUMNOS DE 0-36 MESES);PENSIÓN EDUCACIÓN INICIAL (ALUMNOS DE 0-36 MESES);MATRÍCULA EDUCACIÓN INICIAL;PENSIÓN EDUCACIÓN INICIAL;MATRÍCULA EDUCACIÓN BASICA;PENSIÓN EDUCACIÓN BASICA;MATRÍCULA EDUCACIÓN BASICA SUPERIOR;PENSIÓN EDUCACIÓN BASICA SUPERIOR;MATRÍCULA BACHILLERATO;PENSIÓN BACHILLERATO;ESTADO;TELEFONO;SECTOR;DIRECCION;"TERAPIA DE LENGUAJE 
NOMBRE DE CONTACTO";"TERAPIA DE LENGUAJE 
CARGO CONTACTO";"TERAPIA DE LENGUAJE 
EMAIL";"TERAPIA DE LENGUAJE
PROCESO REALIZADO";"TERAPIA DE LENGUAJE
RESPONSABLE";"TERAPIA DE LENGUAJE
FECHA DE CONTACTO";"TL
GENERAL OBSERVACIONES";"TL
FECHA PROXIMO CONTACTO";"PSICOLOGIA
NOMBRE DE CONTACTO";"PSICOLOGIA
CARGO CONTACTO";"PSICOLOGIA
EMAIL";"PSICOLOGIA
PROCESO REALIZADO";"PSICOLOGIA
RESPONSABLE";"PSICOLOGIA
OBSERVACIÓN";"P
GENERAL OBSERVACIONES";"P
FECHA PROXIMO CONTACTO";"VYA
NOMBRE DE CONTACTO";"VYA
CARGO CONTACTO";"VYA
EMAIL";"VYA
PROCESO REALIZADO";"VYA
RESPONSABLE";"VYA
OBSERVACIÓN";"VYA
GENERAL OBSERVACIONES";"VYA
FECHA PROXIMO
 CONTACTO"
17D02;"SIERRA -
AMAZONIA";9;CENTRO INFANTIL DIVINO CORAZON;PARTICULAR;45,94;73,50;45,94;73,50;;;;;;;;;NORTE UIO;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
17D02;"SIERRA -
AMAZONIA";9;PCEI SAN JOSE DE MORAN;PARTICULAR;;;;;;;26,47;42,35;26,47;42,35;;;NORTE UIO;;;;;;;;;;;;;;;;;;;;;;;;;
17D02;"SIERRA -
AMAZONIA";9;"ESCUELA DE EDUCACIÓN BÁSICA
PARTICULAR “INFANCIA FELIZ”";PARTICULAR;62,54;100,07;30,96;49,53;30,96;49,53;;;;;;;NORTE UIO;;;;;;;;;;;;;;;;;;;;;;;;;
17D02;"SIERRA -
AMAZONIA";9;"ESCUELA DE EDUCACIÓN BÁSICA
PARTICULAR “INFANCIA FELIZ”";PARTICULAR;73,37;117,40;41,79;66,88;41,79;66,88;;;;;;;NORTE UIO;;;;;;;;;;;;;;;;;;;;;;;;;
17D02;"SIERRA -
AMAZONIA";9;"COLEGIO PARTICULAR BATALLA DE
JAMBELI";PARTICULAR;;;;;;;54,45;87,12;54,45;87,12;;;NORTE UIO;;;;;;;;;;;;;;;;;;;;;;;;;
17D02;"SIERRA -
AMAZONIA";9;"UNIDAD EDUCATIVA PARTICULAR
MIGUEL ANGEL ASTURIAS";PARTICULAR;;;;;81,06;129,69;81,06;129,69;82,24;131,58;;;NORTE UIO;;;;;;;;;;;;;;;;;;;;;;;;;
17D02;"SIERRA -
AMAZONIA";9;"INSTITUCIÓN EDUCATIVA VICTOR
GARCIA HOZ";PARTICULAR;;;56,75;90,80;56,75;90,80;56,75;90,80;;;;;NORTE UIO;;;;;;;;;;;;;;;;;;;;;;;;;
17D02;SIERRA - AMAZONIA;9;UNIDAD EDUCATIVA PARTICULAR MIGUEL DE CERVANTES;PARTICULAR;;;76,92;123,07;76,92;123,07;76,92;123,07;81,01;129,62;;;NORTE UIO;;;;;;;;;;;;;;;;;;;;;;;;;
17D02;"SIERRA -
AMAZONIA";9;HAMMURABI;PARTICULAR;;;32,12;51,39;36,15;57,84;;;;;;;NORTE UIO;;;;;;;;;;;;;;;;;;;;;;;;;
17D02;"SIERRA -
AMAZONIA";9;"UNIDAD EDUCATIVA PARTICULAR
“MIGUEL ANGEL BUONARROTI”";PARTICULAR;;;;;56,75;90,80;56,75;90,80;59,81;95,70;;;NORTE UIO;;;;;;;;;;;;;;;;;;;;;;;;;
17D02;"SIERRA -
AMAZONIA";9;"UNIDAD EDUCATIVA PARTICULAR
JAIME LUCIANO BALMES";PARTICULAR;;;69,01;110,42;69,01;110,42;69,01;110,42;69,01;110,42;;;NORTE UIO;;;;;;;;;;;;;;;;;;;;;;;;;
17D02;"SIERRA -
AMAZONIA";9;"ESCUELA DE EDUCACIÓN BÁSICA
PARTICULAR FLORENTINOS";PARTICULAR;79,95;106,60;54,62;87,40;53,64;85,82;53,64;85,82;;;;;NORTE UIO;;;;;;;;;;;;;;;;;;;;;;;;;
17D02;"SIERRA -
AMAZONIA";9;UNIDAD EDUCATIVA SAULO;PARTICULAR;;;;;40,95;65,52;45,01;72,01;45,01;72,01;;;NORTE UIO;;;;;;;;;;;;;;;;;;;;;;;;;
17D02;"SIERRA -
AMAZONIA";9;"ESCUELA DE EDUCACIÓN BÁSICA
PARTICULAR NOVA ERA";PARTICULAR;;;28,52;45,63;28,52;45,63;;;;;;;NORTE UIO;;;;;;;;;;;;;;;;;;;;;;;;;
17D02;"SIERRA -
AMAZONIA";9;"ESCUELA DE EDUCACIÓN BÁSICA
PARTICULAR NOVA ERA";PARTICULAR;;;27,45;43,92;27,45;43,92;;;;;;;NORTE UIO;;;;;;;;;;;;;;;;;;;;;;;;;
17D02;"SIERRA -
AMAZONIA";9;REPUBLICA FEDERAL SUIZA;PARTICULAR;;;69,66;111,46;70,22;112,35;70,22;112,35;72,55;116,08;;;NORTE UIO;;;;;;;;;;;;;;;;;;;;;;;;;
17D02;"SIERRA -
AMAZONIA";9;"UNIDAD EDUCATIVA PARTICULAR
PROFESOR LUIS MERANI";PARTICULAR;51,60;82,56;51,60;82,56;55,73;89,17;55,73;89,17;55,73;89,17;;;NORTE UIO;;;;;;;;;;;;;;;;;;;;;;;;;
17D02;SIERRA - AMAZONIA;9;"INSTITUCION EDUCATIVA
PARTICULAR CARLOS ALVAREZ MIÑO SUIZO";PARTICULAR;;;64,55;103,28;64,55;103,28;64,55;103,28;;;;;NORTE UIO;;;;;;;;;;;;;;;;;;;;;;;;;
17D02;SIERRA - AMAZONIA;9;"INSTITUCION EDUCATIVA
PARTICULAR CARLOS ALVAREZ MIÑO SUIZO";PARTICULAR;;;64,23;102,77;64,23;102,77;64,23;102,77;;;;;NORTE UIO;;;;;;;;;;;;;;;;;;;;;;;;;
17D02;"SIERRA -
AMAZONIA";9;ANGEL BENIGNO RP;PARTICULAR;;;41,71;66,73;;;;;;;;;NORTE UIO;;;;;;;;;;;;;;;;;;;;;;;;;
17D02;"SIERRA -
AMAZONIA";9;"INSTITUCIÓN EDUCATIVA
PARTICULAR MONTE CARMELO";PARTICULAR;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;NORTE UIO;;;;;;;;;;;;;;;;;;;;;;;;;
17D02;"SIERRA -
AMAZONIA";9;ESDRAS;PARTICULAR;;;30,96;49,53;30,96;49,53;;;;;;;NORTE UIO;;;;;;;;;;;;;;;;;;;;;;;;;
17D02;"SIERRA -
AMAZONIA";9;Institución Educativa Dr. Goleman;PARTICULAR;140;187;055;088;043;069;;;;;SEGUIMIENTO;987060607;NORTE UIO;Pje. Isaac Newton, Quito 170202;SUSY SOLANO;DECE;informes@iedrgoleman.com;SE ENVIO EMAIL CON NUEVA PRESENTACION;EMIRO;25/03/2025;LLAMAR ;15/04/2025;;;;;;;;;;;;;;;;
17D02;"SIERRA -
AMAZONIA";9;UNIDAD EDUCATIVA MAURICE RAVEL;PARTICULAR;;;155,11;248,17;155,11;248,17;155,11;248,17;155,11;248,17;;;NORTE UIO;;;;;;;;;;;;;;;;;;;;;;;;;
17D02;"SIERRA -
AMAZONIA";9;UNIDAD EDUCATIVA MAURICE RAVEL;PARTICULAR;;;157,98;252,77;157,98;252,77;157,98;252,77;157,98;252,77;;;NORTE UIO;;;;;;;;;;;;;;;;;;;;;;;;;
17D02;"SIERRA -
AMAZONIA";9;"INSTITUCION EDUCATIVA
PARTICULAR NUESTRA AMERICA";PARTICULAR;;;57,12;91,40;;;;;;;;;NORTE UIO;;;;;;;;;;;;;;;;;;;;;;;;;
17D02;"SIERRA -
AMAZONIA";9;"UNIDAD EDUCATIVA GIOVANNI
BELLINI";PARTICULAR;;;77,48;123,97;77,48;123,97;77,48;123,97;83,44;133,50;;;NORTE UIO;;;;;;;;;;;;;;;;;;;;;;;;;
17D02;"SIERRA -
AMAZONIA";9;"ESCUELA PARTICULAR GRATUITA
LETRA PARA TODOS";PARTICULAR;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;NORTE UIO;;;;;;;;;;;;;;;;;;;;;;;;;
17D02;"SIERRA -
AMAZONIA";9;PLANTEL EDUCATIVO SAN AGUSTIN;PARTICULAR;;;;;44,54;71,27;;;;;;;NORTE UIO;;;;;;;;;;;;;;;;;;;;;;;;;
17D02;"SIERRA -
AMAZONIA";9;PLANTEL EDUCATIVO SAN AGUSTIN;PARTICULAR;;;42,57;68,11;42,57;68,11;42,57;68,11;;;;;NORTE UIO;;;;;;;;;;;;;;;;;;;;;;;;;
17D02;"SIERRA -
AMAZONIA";9;10 DE MARZO;PARTICULAR;;;30,25;48,40;30,25;48,40;;;;;;;NORTE UIO;;;;;;;;;;;;;;;;;;;;;;;;;
17D02;"SIERRA -
AMAZONIA";9;CDI MIS PINGUINITOS;PARTICULAR;145,20;193,60;121,00;193,60;;;;;;;;;NORTE UIO;;;;;;;;;;;;;;;;;;;;;;;;;
17D02;"SIERRA -
AMAZONIA";9;"INSTITUCION EDUCATIVA KARL
POPPER";PARTICULAR;123,75;165,00;51,56;82,50;51,56;82,50;;;;;;;NORTE UIO;;;;;;;;;;;;;;;;;;;;;;;;;
17D02;"SIERRA -
AMAZONIA";9;"INSTITUCIÓN EDUCATIVA
PARTICULAR NAZARET";PARTICULAR;50,00;80,00;50,00;80,00;50,00;80,00;;;;;;;NORTE UIO;;;;;;;;;;;;;;;;;;;;;;;;;
17D02;"SIERRA -
AMAZONIA";9;"CENTRO DE DESARROLLO INFANTIL LA
PROVIDENCIA";PARTICULAR;;;37,50;60,00;;;;;;;;;NORTE UIO;;;;;;;;;;;;;;;;;;;;;;;;;
17D02;"SIERRA -
AMAZONIA";9;INSTITUCION EDUCATIVA JC CAMP;PARTICULAR;120,28;160,38;100,24;160,38;100,24;160,38;;;;;;;NORTE UIO;;;;;;;;;;;;;;;;;;;;;;;;;
17D02;SIERRA - AMAZONIA;9;"CENTRO DE DESARROLLO INTEGRAL PARA LA PRIMERA INFANCIA
PAPELITOS DE COLORES";PARTICULAR;109,13;145,50;90,94;145,50;;;;;;;;;NORTE UIO;;;;;;;;;;;;;;;;;;;;;;;;;
17D02;"SIERRA -
AMAZONIA";9;"ESCUELA DE EDUCACIÓN BÁSICA
PARTICULAR RINCÓN DE LUZ";PARTICULAR;124,08;165,45;62,04;99,27;62,04;99,27;;;;;;;NORTE UIO;;;;;;;;;;;;;;;;;;;;;;;;;
17D02;SIERRA - AMAZONIA;9;"ESCUELA DE EDUCACIÓN BÁSICA PARTICULAR ABDY GARDEN
CHILDREN CRISTIAN CENTER";PARTICULAR;153,75;246,00;153,75;246,00;153,75;246,00;;;;;;;NORTE UIO;;;;;;;;;;;;;;;;;;;;;;;;;
17D02;"SIERRA -
AMAZONIA";9;"Institución Educativa Particular JEAN
JACQUES ROUSSEAU";PARTICULAR;047;075;047;075;047;075;;;;;CONVENIO;;NORTE UIO;;;;;;;;;;;;;;;;;;;;;;;;;
17D02;"SIERRA -
AMAZONIA";9;"INSTITUCIÓN EDUCATIVA
PARTICULAR LOQUITOS Y BAJITOS";PARTICULAR;;;91,18;145,89;91,18;145,89;;;;;;;NORTE UIO;;;;;;;;;;;;;;;;;;;;;;;;;
17D02;"SIERRA -
AMAZONIA";9;"UNIDAD EDUCATIVA PARTICULAR
ALTO CENEPA";PARTICULAR;;;;;107,04;171,27;107,04;171,27;107,04;171,27;;;NORTE UIO;;;;;;;;;;;;;;;;;;;;;;;;;
17D02;"SIERRA -
AMAZONIA";9;SEMILLITAS DEL SABER;PARTICULAR;109,13;145,50;90,40;145,50;;;;;;;;;NORTE UIO;;;;;;;;;;;;;;;;;;;;;;;;;
17D03;"SIERRA -
AMAZONIA";9;"ESCUELA PARTICULAR MIXTA
VALDIVIA IESVAL";PARTICULAR;;;;;165,96;265,53;;;;;;;NORTE UIO;;;;;;;;;;;;;;;;;;;;;;;;;
17D03;"SIERRA -
AMAZONIA";9;TEILHARD DE CHARDIN;PARTICULAR;;;;;90,06;144,10;90,06;144,10;92,12;147,40;;;NORTE UIO;;;;;;;;;;;;;;;;;;;;;;;;;
17D03;"SIERRA -
AMAZONIA";9;"ALEXANDER WANDEMBERG
INTERNACIONAL";PARTICULAR;;;105,88;169,40;200,10;320,17;200,10;320,17;201,69;322,71;;;NORTE UIO;;;;;;;;;;;;;;;;;;;;;;;;;
17D03;"SIERRA -
AMAZONIA";9;"UNIDAD EDUCATIVA GIOVANNI
BATTISTA MONTINI PAULO VI";PARTICULAR;;;61,92;99,08;64,50;103,20;67,94;108,70;67,94;108,70;;;NORTE UIO;;;;;;;;;;;;;;;;;;;;;;;;;
17D03;"SIERRA -
AMAZONIA";9;MISIONERAS DE LA NINEZ;PARTICULAR;;;31,24;50,00;31,24;50,00;;;;;;;NORTE UIO;;;;;;;;;;;;;;;;;;;;;;;;;
17D03;"SIERRA -
AMAZONIA";9;UNIDAD EDUCATIVA JAN KOMENSKY;PARTICULAR;;;86,88;139,00;86,88;139,00;86,88;139,00;86,88;139,00;;;NORTE UIO;;;;;;;;;;;;;;;;;;;;;;;;;
17D03;"SIERRA -
AMAZONIA";9;UNIDAD EDUCATIVA JAN KOMENSKY;PARTICULAR;;;82,56;132,10;82,56;132,10;82,56;132,10;82,56;132,10;;;NORTE UIO;;;;;;;;;;;;;;;;;;;;;;;;;
17D03;"SIERRA -
AMAZONIA";9;JHON M KEYNES;PARTICULAR;;;42,35;67,76;42,35;67,76;;;;;;;NORTE UIO;;;;;;;;;;;;;;;;;;;;;;;;;
17D03;"SIERRA -
AMAZONIA";9;JOSE ENRIQUE GUERRERO;PARTICULAR;;;30,44;48,71;33,00;52,80;39,60;63,36;42,90;68,64;;;NORTE UIO;;;;;;;;;;;;;;;;;;;;;;;;;
17D03;"SIERRA -
AMAZONIA";9;LICEO SAN MARCOS DE QUITO;PARTICULAR;;;;;;;83,12;133,00;83,12;133,00;;;NORTE UIO;;;;;;;;;;;;;;;;;;;;;;;;;
17D03;"SIERRA -
AMAZONIA";9;"UNIDAD EDUCATIVA PARTICULAR
ALVERNIA";PARTICULAR;;;65,31;104,50;65,31;104,50;65,31;104,50;65,31;104,50;;;NORTE UIO;;;;;;;;;;;;;;;;;;;;;;;;;
17D03;"SIERRA -
AMAZONIA";9;ALFA Y OMEGA;PARTICULAR;18,75;30,00;18,75;30,00;;;;;;;;;NORTE UIO;;;;;;;;;;;;;;;;;;;;;;;;;
17D03;"SIERRA -
AMAZONIA";9;"UNIDAD EDUCATIVA PARTICULAR
JUAN PABLO II DEL CONDADO";PARTICULAR;;;67,48;107,96;84,35;134,96;84,35;134,96;122,22;195,55;;;NORTE UIO;;;;;;;;;;;;;;;;;;;;;;;;;
17D03;"SIERRA -
AMAZONIA";9;"UNIDAD EDUCATIVA PARTICULAR
MENA DEL HIERRO";PARTICULAR;;;45,98;73,56;65,92;105,47;65,92;105,47;70,44;112,70;;;NORTE UIO;;;;;;;;;;;;;;;;;;;;;;;;;
17D03;"SIERRA -
AMAZONIA";9;PRIMAVERA DE QUITO;PARTICULAR;;;;;32,96;52,75;;;;;;;NORTE UIO;;;;;;;;;;;;;;;;;;;;;;;;;
17D03;"SIERRA -
AMAZONIA";9;PRIMAVERA DE QUITO;PARTICULAR;;;32,81;52,50;32,81;52,50;;;;;;;NORTE UIO;;;;;;;;;;;;;;;;;;;;;;;;;
17D03;"SIERRA -
AMAZONIA";9;"UNIDAD EDUCATIVA PARTICULAR
ARCO IRIS OCCIDENTAL";PARTICULAR;;;51,97;83,16;51,97;83,16;51,97;83,16;53,71;85,93;;;NORTE UIO;;;;;;;;;;;;;;;;;;;;;;;;;
17D03;"SIERRA -
AMAZONIA";9;"CENTRO DEL MUCHACHO
TRABAJADOR N. 2";PARTICULAR;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;NORTE UIO;;;;;;;;;;;;;;;;;;;;;;;;;
17D03;"SIERRA -
AMAZONIA";9;"COLEGIO PARTICULAR LOS SHYRIS
IESVAL";PARTICULAR;;;;;;;206,41;330,25;208,39;333,42;;;NORTE UIO;;;;;;;;;;;;;;;;;;;;;;;;;
17D03;"SIERRA -
AMAZONIA";9;"UNIDAD EDUCATIVA CHARLES
DARWIN";PARTICULAR;;;156;249;183;293;183;293;185;297;CONVENIO;2493-359/ 2492-061 / 2492-062;NORTE UIO;;;;;;PABLO;;;;;;;;;;;;;;;CARPETA, LLAMAR PARA SEGUIMIENTO;PAMELA;LLAMAR 10/03/2025;;
17D03;"SIERRA -
AMAZONIA";9;EUSTAQUIO MONTEMURRO;PARTICULAR;;;41,83;66,94;41,83;66,94;;;;;;;NORTE UIO;;;;;;;;;;;;;;;;;;;;;;;;;
17D03;"SIERRA -
AMAZONIA";9;EUSTAQUIO MONTEMURRO;PARTICULAR;48,37;77,39;43,09;68,94;43,09;68,94;43,09;68,94;;;;;NORTE UIO;;;;;;;;;;;;;;;;;;;;;;;;;
17D03;"SIERRA -
AMAZONIA";9;"INSTITUCION EDUCATIVA SANTA
MARIA DE LOS ANGELES";PARTICULAR;;;39,70;63,51;39,70;63,51;39,70;63,51;;;;;NORTE UIO;;;;;;;;;;;;;;;;;;;;;;;;;
17D03;"SIERRA -
AMAZONIA";9;EL CONDADO;PARTICULAR;;;29,95;47,92;31,94;51,11;;;;;;;NORTE UIO;;;;;;;;;;;;;;;;;;;;;;;;;
17D03;"SIERRA -
AMAZONIA";9;"UNIDAD EDUCATIVA LICEO JOSE
ORTEGA Y GASSET";PARTICULAR;;;240,05;384,08;290,75;465,20;290,75;465,20;303,02;484,83;;;NORTE UIO;;;;;;;;;;;;;;;;;;;;;;;;;
17D03;"SIERRA -
AMAZONIA";9;NUEVO MUNDO INTELECTUAL;PARTICULAR;;;;;44,69;71,50;;;;;;;NORTE UIO;;;;;;;;;;;;;;;;;;;;;;;;;
17D03;"SIERRA -
AMAZONIA";9;WILLIAM TELL;PARTICULAR;;;22,69;36,30;25,41;40,66;;;;;;;NORTE UIO;;;;;;;;;;;;;;;;;;;;;;;;;
17D03;"SIERRA -
AMAZONIA";9;"COLEGIO PARTICULAR DAVID
AUSUBEL";PARTICULAR;;;;;;;56,98;91,16;56,98;91,16;;;NORTE UIO;;;;;;;;;;;;;;;;;;;;;;;;;
